protocol_id,pre_mtype,post_mtype,area,animal,age,frequency_train,dt_train,n_stimuli_train,n_sweep,period_sweep,mean_epsp_ratio,sem_epsp_ratio,sample_size,reference,notes
mrk97_01,L5TTPC,L5TTPC,SSC,rat,P14 - P16,2,5,5,10,4,0.9886,0.04,2,Markram et al. 1997,Record digitized from paper.
mrk97_02,L5TTPC,L5TTPC,SSC,rat,P14 - P16,5,5,5,10,4,1.0161,0.0727,5,Markram et al. 1997,Record digitized from paper.
mrk97_03,L5TTPC,L5TTPC,SSC,rat,P14 - P16,10,5,5,10,4,1.2038,0.0644,9,Markram et al. 1997,Record digitized from paper.
mrk97_04,L5TTPC,L5TTPC,SSC,rat,P14 - P16,20,5,5,10,4,1.3687,0.0909,11,Markram et al. 1997,Record digitized from paper.
mrk97_05,L5TTPC,L5TTPC,SSC,rat,P14 - P16,30,5,5,10,4,1.4239,0.0745,3,Markram et al. 1997,Record digitized from paper.
mrk97_06,L5TTPC,L5TTPC,SSC,rat,P14 - P16,40,5,5,10,4,1.5008,0.12,4,Markram et al. 1997,Record digitized from paper.
mrk97_07,L5TTPC,L5TTPC,SSC,rat,P14 - P16,10,10,5,10,4,1.2013,0.0626,6,Markram et al. 1997,Record digitized from paper. AP train repeated 10 to 15 times.
mrk97_08,L5TTPC,L5TTPC,SSC,rat,P14 - P16,10,-10,5,10,4,0.7922,0.0259,6,Markram et al. 1997,Record digitized from paper. AP train repeated 10 to 15 times.
egg99_01,L23PC,L23PC,SSC (barrel),rat,P12 - P14,20,10,5,10,10,1.299,0.082,12,Egger et al. 1999,Nothing.
egg99_02,L4SS,L4SS,SSC (barrel),rat,P12 - P14,1,10,5,10,10,0.816,0.060,4,Egger et al. 1999,Nothing.
egg99_03,L4SS,L4SS,SSC (barrel),rat,P12 - P14,10,10,5,10,10,0.595,0.060,5,Egger et al. 1999,Nothing.
egg99_04,L4SS,L4SS,SSC (barrel),rat,P12 - P14,20,10,5,10,10,0.672,0.059,21,Egger et al. 1999,Nothing.
egg99_05,L4SS,L4SS,SSC (barrel),rat,P12 - P14,50,10,5,10,10,0.966,0.066,4,Egger et al. 1999,Nothing.
sjs01_01,L5TTPC,L5TTPC,VC,rat,P12 - P21,0.1,10,1,50,10,0.9639,0.051,7,Sjostrom et al. 2001,Record digitized from paper. Cao = 2.5 mM.
sjs01_02,L5TTPC,L5TTPC,VC,rat,P12 - P21,10,10,5,15,10,1.1523,0.1021,6,Sjostrom et al. 2001,Record digitized from paper. Cao = 2.5 mM.
sjs01_03,L5TTPC,L5TTPC,VC,rat,P12 - P21,20,10,5,15,10,1.3054,0.1391,3,Sjostrom et al. 2001,Record digitized from paper. Cao = 2.5 mM.
sjs01_04,L5TTPC,L5TTPC,VC,rat,P12 - P21,40,10,5,15,10,1.5395,0.1127,6,Sjostrom et al. 2001,Record digitized from paper. Cao = 2.5 mM.
